300,1300,650,433,325,260
310,1343,672,448,336,269
320,1387,693,462,347,277
330,1430,715,477,358,286
340,1473,737,491,368,295
350,1517,758,506,379,303
360,1560,780,520,390,312
370,1603,802,534,401,321
380,1647,823,549,412,329
390,1690,845,563,423,338
400,1733,867,578,433,347
410,1777,888,592,444,355
420,1820,910,607,455,364
430,1863,932,621,466,373
440,1907,953,636,477,381
450,1950,975,650,488,390
460,1993,997,664,498,399
470,2037,1018,679,509,407
480,2080,1040,693,520,416
490,2123,1062,708,531,425
500,2167,1083,722,542,433
510,2210,1105,737,553,442
520,2253,1127,751,563,451
530,2297,1148,766,574,459
540,2340,1170,780,585,468
550,2383,1192,794,596,477
